t_s,count,theta_rad,omega_rad_s,vin_V
0.0001036,0,0,0,0
0.0676052,0,0,0,0
0.1318206,0,0,0,0
0.1936603,0,0,0,0
0.2564878,0,0,0,0
0.319969,0,0,0,0
0.3666642,0,0,0,0
0.4128093,0,0,0,0
0.4590376,0,0,0,0
0.5059951,0,0,0,0
0.552046,0,0,0,0
0.5976543,0,0,0,0
0.6446606,0,0,0,0
0.6908603,0,0,0,0
0.7376301,0,0,0,0
0.7851443,0,0,0,0
0.8332383,0,0,0,0
0.8797867,0,0,0,0
0.9256062,0,0,0,0
0.9732281,0,0,0,0
1.0202177,0,0,0,0
1.0679107,0,0,0,0
1.1142169,0,0,0,0
1.1599037,0,0,0,0
1.2048695,0,0,0,0
1.2525699,0,0,0,0
1.299694,0,0,0,0
1.345955,0,0,0,0
1.3919555,0,0,0,0
1.4390604,0,0,0,0
1.4858833,0,0,0,0
1.5339645,0,0,0,0
1.5806856,0,0,0,0
1.6268681,0,0,0,0
1.6735423,0,0,0,0
1.7204862,0,0,0,0
1.767443,0,0,0,0
1.8133378,0,0,0,0
1.8592053,0,0,0,0
1.905778,0,0,0,0
1.9539483,0,0,0,0
2.0017668,0,0,0,0
2.0493683,0,0,0,0
2.0953904,0,0,0,0
2.1431287,0,0,0,0
2.1904488,0,0,0,0
2.2380813,0,0,0,0
2.2846724,0,0,0,0
2.3308181,0,0,0,0
2.3759557,0,0,0,0
2.4220217,0,0,0,0
2.4696201,0,0,0,0
2.5156762,0,0,0,0
2.5612535,0,0,0,0
2.6082129,0,0,0,0
2.6549455,0,0,0,0
2.7029859,0,0,0,0
2.7505314,0,0,0,0
2.7955925,0,0,0,0
2.8415065,0,0,0,0
2.8887616,0,0,0,0
2.9352149,0,0,0,0
2.9808663,0,0,0,0
3.0275725,0,0,0,0
3.074821,0,0,0,0
3.1221725,0,0,0,0
3.1692141,0,0,0,0
3.2163216,0,0,0,0
3.2624666,0,0,0,0
3.3083766,0,0,0,0
3.355038,0,0,0,0
3.4029792,9,0.00448798950512828,0.0774576554356534,4
3.4493897,232,0.115690396132196,1.98503794827956,4
3.4954107,909,0.453286940017956,6.38058805391827,4
3.54172,1967,0.980875039620813,10.5025986851557,4
3.5894209,3328,1.65955878589632,13.5822791867557,4
3.6367703,4925,2.45592759030631,16.2546006806966,4
3.6823212,6632,3.30714959977897,18.249353588864,4
3.7283789,8576,4.27655533288668,20.5484575534913,4
3.7751285,10660,5.31577423607416,21.9332555422839,4
3.821368,12935,6.45023824987047,24.0719880016564,4
3.8679661,15285,7.62210217620952,24.9581488840724,4
3.9151457,17652,8.80244341605826,25.0075678859148,4
3.9610247,20014,9.98029132840415,25.5538501262557,4
4.0079007,22463,11.2015231392996,25.9647357788523,4
4.0551326,24907,12.4202616226922,25.8315002853503,4
4.1027388,27353,13.639997437086,25.6578426844204,4
4.1504084,29743,14.8318079834478,25.1152942487212,4
4.1958422,32110,16.0121492232965,25.8234900428246,4
4.2425525,34512,17.2099437556652,25.6748674014585,4
4.2889485,36931,18.4162156015436,25.9419199924278,4
4.3358767,39337,19.6160047959146,25.6324351427805,4
4.3817996,41652,20.7704154297337,25.2264275501971,4
4.4279207,44045,21.9637219725972,25.758062802859,4
4.4744923,46494,23.1849537834927,26.1405447066028,4
4.5217997,48949,24.4091775873916,25.9238641251374,4
4.5694979,51378,25.6204360882756,25.4860141587682,4
4.6161752,53788,26.8222199446489,25.7006596637618,4
4.6626518,56155,28.0025611844976,25.4503252052417,4
4.7086734,58580,29.2118250233794,26.1286198704462,4
4.756197,61029,30.4330568342748,25.7723440396624,4
4.8041709,63520,31.6752325961942,25.8719734624723,4
4.8513273,65894,32.859064494547,25.2386720118384,4
4.8968777,68263,34.0404030653968,25.8094503544216,4
4.9429263,70632,35.2217416362467,25.6818738450934,4
4.989111,73064,36.4344961336325,26.1561107532246,4
5.0363205,75509,37.6537332825257,25.8837825260738,4
5.0832244,77883,38.8375651808784,25.3527389794633,4
5.1286174,80237,40.0114237692197,25.7683457862174,4
5.1747242,82664,41.2216849391026,26.1633995833858,4
5.2227448,85118,42.445410077501,25.6005476370836,4
5.2697267,87599,43.6825991844146,26.2047173450611,4
5.3168361,89985,44.8724150687742,25.4224883786237,4
5.3626789,92358,46.0557483016264,25.7429447778119,4
5.4087942,94785,47.2660094715093,26.1549099383063,4
5.455568,97219,48.4797612998962,25.9855941960898,4
5.5030144,99671,49.7024891072934,25.8081228651071,4
5.550446,102091,50.9092596186723,25.5060235137103,4
5.5960206,104448,52.0846142035154,25.7386435526326,4
5.6423952,106918,53.3163179899228,26.4142046583702,4
5.688343,109301,54.5046378777806,25.9610196369039,4
5.7353291,111727,55.714400382163,25.7847562958575,4
5.7820343,114116,56.9057122630243,25.5560238535418,4
5.8277181,116482,58.0855548373724,25.7777452846893,4
5.87425,118939,59.3107759722724,26.2329514441742,4
5.9206451,121446,60.560930382201,26.819420913701,4
5.9682505,123990,61.8295354156505,26.6780413396418,4
6.0152807,126455,63.0587458745551,26.2315557774827,4
6.0608137,128886,64.2710017064403,26.5530655584975,4
6.1073753,131305,65.4772735523187,26.0212317449178,4
6.1542503,133755,66.6990040287147,26.0561370346408,4
6.2016604,136243,67.9396837941324,26.1494255499311,4
6.2494567,138677,69.1534356225193,25.5249225968831,4
6.2953395,141060,70.3417555103772,25.8320827486576,4
6.3564814,144282,71.9484557532131,26.2155083055483,4
6.4033607,146737,73.172679557112,26.1321585700659,4
6.45088,149216,74.4088713330245,26.0349719418219,4
6.4974681,151601,75.5981885518835,25.617876166141,4
6.5427057,153968,76.7785297917323,26.0061987036032,4
6.589747,156435,78.008737581638,26.1261538033276,4
6.6378591,158918,79.2469240195528,25.8026809553967,4
6.6853267,161429,80.4990730914836,26.2787358700338,4
6.7315688,163836,81.6993609513551,26.0138796128144,4
6.7776685,166237,82.8966568182232,25.9793664314829,4
6.8250118,168709,84.1293579356318,26.027361203896,4
6.8727269,171146,85.3446057605204,25.5656047884801,4
6.9199579,173602,86.5693282299199,25.8667246297331,4
6.9649587,175952,87.7411921562589,26.0092793675067,4
7.0105154,178379,88.9514533261419,26.4658261480254,4
7.0580989,180845,90.181162450547,25.9513121968168,4
7.1049602,183293,91.4018955959419,26.0325787022646,4
7.1522558,185769,92.6365913753528,26.0931304748268,4
7.1978613,188145,93.8214206047066,26.0003153303563,4
7.2440253,190535,95.0132311510685,25.8495424055518,4
7.2915239,193004,96.2444362719753,25.9084663793965,4
7.339066,195503,97.4906013578993,26.1591035036592,4
7.3858762,197954,98.7128304997959,26.1189042976998,4
7.4315475,200339,99.9021477186548,26.0548300800592,4
7.4774974,202744,101.101438247525,26.0918934559487,4
7.5240459,205150,102.301227441896,25.8310676486635,4
7.5711034,207595,103.520464590789,25.8957687487152,4
7.6183803,210098,104.768624338716,26.312831794552,4
7.6648979,212544,105.988360153109,26.2372098662945,4
7.7110404,214945,107.185656019977,25.9993403487742,4
7.758284,217415,108.417359806385,26.0587592306416,4
7.8055041,219853,109.633106296774,25.8009699859946,4
7.852566,222287,110.846858125161,25.7923680817997,4
7.8980668,224718,112.059113957046,26.4893391212959,4
7.9451427,227142,113.267879130427,25.8192786201212,4
7.9924921,229654,114.520526867859,26.3444870152532,4
8.0394766,232091,115.735774692747,25.9490334220911,4
8.0872705,234560,116.966979813654,25.7933009388145,4
8.1323918,236913,118.140339736495,25.9662404955781,4
8.1779429,239346,119.353592899381,26.5146066926155,4
8.2246233,241790,120.572331382774,26.1798531823836,4
8.2720995,244231,121.789573869665,25.7331037666848,4
8.3192841,246746,123.043717603598,26.4315002920347,4
8.365825,249152,124.243506797969,25.8946036814298,4
8.4111799,251510,125.419360048313,25.9200050430562,4
8.4575742,253925,126.623637232189,25.9508006005332,4
8.5035028,256373,127.844370377584,26.4666226474512,4
8.5509787,258845,129.077071494992,26.0520904219518,4
8.5970034,261263,130.28284467537,26.1722790947085,4
8.6431536,263648,131.472161894229,25.8421164983579,4
8.6891899,266090,132.68990304662,26.3429654951346,4
8.7371971,268581,133.93207880854,25.9554920228999,4
8.7847967,271096,135.186222542473,26.2796730213768,4
8.8310349,273523,136.396483712356,26.1931907510671,4
8.8769319,275898,137.580814276209,25.8737046954931,4
8.924357,278399,138.827976693134,26.2237151329299,4
8.9718797,280894,140.072147117056,26.1880540247758,4
9.0199084,283385,141.314322878975,25.9191796846586,4
9.0653015,285787,142.512117411344,26.3026681881906,4
9.1113951,288197,143.713901267717,26.1136838829235,4
9.1589813,290701,144.962559681144,26.2180045263626,4
9.2065709,293163,146.190274143547,25.8708952252931,4
9.2535705,295620,147.415495278447,26.0340438731659,4
9.3139136,298758,148.980307619235,25.9464365306581,4
9.3591844,301165,150.180595479106,26.4109118228449,4
9.4069152,303681,151.43523787854,26.307473959517,4
9.4541963,306142,152.662453675442,26.0171424169139,4
9.5008874,308576,153.876205503829,25.9992000958887,4
9.5472862,311002,155.085968008212,26.0600315138134,4
9.5939889,313438,156.3007171676,26.0190339177183,4
9.6405552,315903,157.529927626504,26.3301788888744,4
9.6880982,318381,158.765620736916,26.0499956432706,4
9.7353144,320882,160.012783153841,26.3502709609831,4
9.7819941,323314,161.225537651227,26.0456072808362,4
9.8289618,325818,162.474196064654,26.4907041399805,4
9.8767852,328314,163.718865154076,26.1066649630087,4
9.9245802,330833,164.975003550011,26.2514931320259,4
9.970924,333226,166.168310092875,25.838184044807,4
10.0171616,335638,167.371091280249,25.9819591842904,4
10.0626861,338047,168.572376471122,26.3145959480151,4
10.1093225,340522,169.806573585032,26.437822202514,4
10.1566733,343026,171.055231998459,26.3821365255921,4
10.2039032,345441,172.259509182335,25.6526492118988,4
10.2500371,347863,173.467277024715,26.0857402478543,4
10.2961929,350334,174.699479476623,26.5878120227395,4
10.3431874,352762,175.910239312007,25.9084289819344,4
10.389736,355189,177.12050048189,25.9837636953396,4
10.4365904,357683,178.364172240311,26.4449083162337,4
10.483284,360105,179.571940082691,25.9679562691806,4
10.5293013,362536,180.784195914576,26.2764430734255,4
10.5753781,364957,181.991465091456,26.2146486178554,4
10.621298,367355,183.187264961822,26.0720487079731,4
10.6674156,369764,184.388550152695,26.0525339279014,4
10.7132991,372178,185.59232867107,26.2027943427759,4
10.7594899,374585,186.792616530942,26.0241143265316,4
10.8061653,377070,188.031800299858,26.4563622344315,4
10.8519345,379514,189.25053878325,26.5971558806102,4
10.8996586,381964,190.472269259646,25.7726328379678,4
10.9455413,384397,191.685522422533,26.3226274189689,4
10.9925843,386885,192.92620218795,26.3644275302381,4
11.0397247,389340,194.150425991849,26.0388110548977,4
11.0856224,391779,195.366671147739,26.4167088527566,4
11.1325411,394190,196.568953669613,25.7639336527606,4
11.1785608,396597,197.769241529484,26.025258907119,4
11.2238958,398994,198.96454273435,26.3043967459481,4
11.2706455,401508,200.218187802783,26.7259392717841,4
11.3179591,403937,201.429446303667,25.7969817565454,4
11.3641594,406358,202.636715480546,26.0717290556261,4
11.4101179,408734,203.8215447099,25.8324744214044,4
11.4551309,411173,205.03778986579,26.804026322938,4
11.5020455,413624,206.260019007686,26.1843078072407,4
11.5490873,416098,207.493717456096,26.2183438545441,4
11.5957134,418496,208.689517326463,25.7475494323615,4
11.6410413,420905,209.890802517335,26.3657338376527,4
11.6881616,423334,211.102061018219,25.8212201136997,4
11.7339167,425731,212.297362223085,26.0696045025986,4
11.7800926,428184,213.520588695983,26.4156429700952,4
11.8279494,430682,214.766255116406,26.0958582245184,4
11.8735949,433110,215.97701495179,26.4481120239491,4
11.9206267,435604,217.220686710211,26.4440694254892,4
11.9682128,438100,218.465355799633,26.2061466860429,4
